outputfile,description,concurrent,iterations,distribution,P1,P2,model_percentage
heatmap_p9_c8,Pareto distribution xm=1 lambda=1 concurrent=8 iter=100 model_percentage=9 GPUmem=80%,8,100,Pareto,1,1,9
heatmap_p10_c8,Pareto distribution xm=1 lambda=1 concurrent=8 iter=100 model_percentage=10 GPUmem=80%,8,100,Pareto,1,1,10
heatmap_p1_c9,Pareto distribution xm=1 lambda=1 concurrent=9 iter=100 model_percentage=1 GPUmem=80%,9,100,Pareto,1,1,1
heatmap_p2_c9,Pareto distribution xm=1 lambda=1 concurrent=9 iter=100 model_percentage=2 GPUmem=80%,9,100,Pareto,1,1,2
heatmap_p3_c9,Pareto distribution xm=1 lambda=1 concurrent=9 iter=100 model_percentage=3 GPUmem=80%,9,100,Pareto,1,1,3
heatmap_p4_c9,Pareto distribution xm=1 lambda=1 concurrent=9 iter=100 model_percentage=4 GPUmem=80%,9,100,Pareto,1,1,4
heatmap_p5_c9,Pareto distribution xm=1 lambda=1 concurrent=9 iter=100 model_percentage=5 GPUmem=80%,9,100,Pareto,1,1,5
heatmap_p6_c9,Pareto distribution xm=1 lambda=1 concurrent=9 iter=100 model_percentage=6 GPUmem=80%,9,100,Pareto,1,1,6
heatmap_p7_c9,Pareto distribution xm=1 lambda=1 concurrent=9 iter=100 model_percentage=7 GPUmem=80%,9,100,Pareto,1,1,7
heatmap_p8_c9,Pareto distribution xm=1 lambda=1 concurrent=9 iter=100 model_percentage=8 GPUmem=80%,9,100,Pareto,1,1,8
heatmap_p9_c9,Pareto distribution xm=1 lambda=1 concurrent=9 iter=100 model_percentage=9 GPUmem=80%,9,100,Pareto,1,1,9
heatmap_p10_c9,Pareto distribution xm=1 lambda=1 concurrent=9 iter=100 model_percentage=10 GPUmem=80%,9,100,Pareto,1,1,10
heatmap_p1_c10,Pareto distribution xm=1 lambda=1 concurrent=10 iter=100 model_percentage=1 GPUmem=80%,10,100,Pareto,1,1,1
heatmap_p2_c10,Pareto distribution xm=1 lambda=1 concurrent=10 iter=100 model_percentage=2 GPUmem=80%,10,100,Pareto,1,1,2
heatmap_p3_c10,Pareto distribution xm=1 lambda=1 concurrent=10 iter=100 model_percentage=3 GPUmem=80%,10,100,Pareto,1,1,3
heatmap_p4_c10,Pareto distribution xm=1 lambda=1 concurrent=10 iter=100 model_percentage=4 GPUmem=80%,10,100,Pareto,1,1,4
heatmap_p5_c10,Pareto distribution xm=1 lambda=1 concurrent=10 iter=100 model_percentage=5 GPUmem=80%,10,100,Pareto,1,1,5
heatmap_p6_c10,Pareto distribution xm=1 lambda=1 concurrent=10 iter=100 model_percentage=6 GPUmem=80%,10,100,Pareto,1,1,6
heatmap_p7_c10,Pareto distribution xm=1 lambda=1 concurrent=10 iter=100 model_percentage=7 GPUmem=80%,10,100,Pareto,1,1,7
heatmap_p8_c10,Pareto distribution xm=1 lambda=1 concurrent=10 iter=100 model_percentage=8 GPUmem=80%,10,100,Pareto,1,1,8
heatmap_p9_c10,Pareto distribution xm=1 lambda=1 concurrent=10 iter=100 model_percentage=9 GPUmem=80%,10,100,Pareto,1,1,9
heatmap_p10_c10,Pareto distribution xm=1 lambda=1 concurrent=10 iter=100 model_percentage=10 GPUmem=80%,10,100,Pareto,1,1,10
