outputfile,description,concurrent,iterations,distribution,P1,P2,model_percentage
heatmap_p8_c2,Pareto distribution xm=1 lambda=1 concurrent=2 iter=100 model_percentage=8 GPUmem=80%,2,100,Pareto,1,1,8
heatmap_p9_c2,Pareto distribution xm=1 lambda=1 concurrent=2 iter=100 model_percentage=9 GPUmem=80%,2,100,Pareto,1,1,9
heatmap_p10_c2,Pareto distribution xm=1 lambda=1 concurrent=2 iter=100 model_percentage=10 GPUmem=80%,2,100,Pareto,1,1,10
heatmap_p1_c3,Pareto distribution xm=1 lambda=1 concurrent=3 iter=100 model_percentage=1 GPUmem=80%,3,100,Pareto,1,1,1
heatmap_p2_c3,Pareto distribution xm=1 lambda=1 concurrent=3 iter=100 model_percentage=2 GPUmem=80%,3,100,Pareto,1,1,2
heatmap_p3_c3,Pareto distribution xm=1 lambda=1 concurrent=3 iter=100 model_percentage=3 GPUmem=80%,3,100,Pareto,1,1,3
heatmap_p4_c3,Pareto distribution xm=1 lambda=1 concurrent=3 iter=100 model_percentage=4 GPUmem=80%,3,100,Pareto,1,1,4
heatmap_p5_c3,Pareto distribution xm=1 lambda=1 concurrent=3 iter=100 model_percentage=5 GPUmem=80%,3,100,Pareto,1,1,5
heatmap_p6_c3,Pareto distribution xm=1 lambda=1 concurrent=3 iter=100 model_percentage=6 GPUmem=80%,3,100,Pareto,1,1,6
heatmap_p7_c3,Pareto distribution xm=1 lambda=1 concurrent=3 iter=100 model_percentage=7 GPUmem=80%,3,100,Pareto,1,1,7
heatmap_p8_c3,Pareto distribution xm=1 lambda=1 concurrent=3 iter=100 model_percentage=8 GPUmem=80%,3,100,Pareto,1,1,8
heatmap_p9_c3,Pareto distribution xm=1 lambda=1 concurrent=3 iter=100 model_percentage=9 GPUmem=80%,3,100,Pareto,1,1,9
heatmap_p10_c3,Pareto distribution xm=1 lambda=1 concurrent=3 iter=100 model_percentage=10 GPUmem=80%,3,100,Pareto,1,1,10
heatmap_p1_c4,Pareto distribution xm=1 lambda=1 concurrent=4 iter=100 model_percentage=1 GPUmem=80%,4,100,Pareto,1,1,1
heatmap_p2_c4,Pareto distribution xm=1 lambda=1 concurrent=4 iter=100 model_percentage=2 GPUmem=80%,4,100,Pareto,1,1,2
heatmap_p3_c4,Pareto distribution xm=1 lambda=1 concurrent=4 iter=100 model_percentage=3 GPUmem=80%,4,100,Pareto,1,1,3
heatmap_p4_c4,Pareto distribution xm=1 lambda=1 concurrent=4 iter=100 model_percentage=4 GPUmem=80%,4,100,Pareto,1,1,4
heatmap_p5_c4,Pareto distribution xm=1 lambda=1 concurrent=4 iter=100 model_percentage=5 GPUmem=80%,4,100,Pareto,1,1,5
heatmap_p6_c4,Pareto distribution xm=1 lambda=1 concurrent=4 iter=100 model_percentage=6 GPUmem=80%,4,100,Pareto,1,1,6
heatmap_p7_c4,Pareto distribution xm=1 lambda=1 concurrent=4 iter=100 model_percentage=7 GPUmem=80%,4,100,Pareto,1,1,7
heatmap_p8_c4,Pareto distribution xm=1 lambda=1 concurrent=4 iter=100 model_percentage=8 GPUmem=80%,4,100,Pareto,1,1,8
heatmap_p9_c4,Pareto distribution xm=1 lambda=1 concurrent=4 iter=100 model_percentage=9 GPUmem=80%,4,100,Pareto,1,1,9
heatmap_p10_c4,Pareto distribution xm=1 lambda=1 concurrent=4 iter=100 model_percentage=10 GPUmem=80%,4,100,Pareto,1,1,10
heatmap_p1_c5,Pareto distribution xm=1 lambda=1 concurrent=5 iter=100 model_percentage=1 GPUmem=80%,5,100,Pareto,1,1,1
heatmap_p2_c5,Pareto distribution xm=1 lambda=1 concurrent=5 iter=100 model_percentage=2 GPUmem=80%,5,100,Pareto,1,1,2
heatmap_p3_c5,Pareto distribution xm=1 lambda=1 concurrent=5 iter=100 model_percentage=3 GPUmem=80%,5,100,Pareto,1,1,3
heatmap_p4_c5,Pareto distribution xm=1 lambda=1 concurrent=5 iter=100 model_percentage=4 GPUmem=80%,5,100,Pareto,1,1,4
heatmap_p5_c5,Pareto distribution xm=1 lambda=1 concurrent=5 iter=100 model_percentage=5 GPUmem=80%,5,100,Pareto,1,1,5
heatmap_p6_c5,Pareto distribution xm=1 lambda=1 concurrent=5 iter=100 model_percentage=6 GPUmem=80%,5,100,Pareto,1,1,6
heatmap_p7_c5,Pareto distribution xm=1 lambda=1 concurrent=5 iter=100 model_percentage=7 GPUmem=80%,5,100,Pareto,1,1,7
heatmap_p8_c5,Pareto distribution xm=1 lambda=1 concurrent=5 iter=100 model_percentage=8 GPUmem=80%,5,100,Pareto,1,1,8
heatmap_p9_c5,Pareto distribution xm=1 lambda=1 concurrent=5 iter=100 model_percentage=9 GPUmem=80%,5,100,Pareto,1,1,9
heatmap_p10_c5,Pareto distribution xm=1 lambda=1 concurrent=5 iter=100 model_percentage=10 GPUmem=80%,5,100,Pareto,1,1,10
heatmap_p1_c6,Pareto distribution xm=1 lambda=1 concurrent=6 iter=100 model_percentage=1 GPUmem=80%,6,100,Pareto,1,1,1
heatmap_p2_c6,Pareto distribution xm=1 lambda=1 concurrent=6 iter=100 model_percentage=2 GPUmem=80%,6,100,Pareto,1,1,2
heatmap_p3_c6,Pareto distribution xm=1 lambda=1 concurrent=6 iter=100 model_percentage=3 GPUmem=80%,6,100,Pareto,1,1,3
heatmap_p4_c6,Pareto distribution xm=1 lambda=1 concurrent=6 iter=100 model_percentage=4 GPUmem=80%,6,100,Pareto,1,1,4
heatmap_p5_c6,Pareto distribution xm=1 lambda=1 concurrent=6 iter=100 model_percentage=5 GPUmem=80%,6,100,Pareto,1,1,5
heatmap_p6_c6,Pareto distribution xm=1 lambda=1 concurrent=6 iter=100 model_percentage=6 GPUmem=80%,6,100,Pareto,1,1,6
heatmap_p7_c6,Pareto distribution xm=1 lambda=1 concurrent=6 iter=100 model_percentage=7 GPUmem=80%,6,100,Pareto,1,1,7
heatmap_p8_c6,Pareto distribution xm=1 lambda=1 concurrent=6 iter=100 model_percentage=8 GPUmem=80%,6,100,Pareto,1,1,8
heatmap_p9_c6,Pareto distribution xm=1 lambda=1 concurrent=6 iter=100 model_percentage=9 GPUmem=80%,6,100,Pareto,1,1,9
heatmap_p10_c6,Pareto distribution xm=1 lambda=1 concurrent=6 iter=100 model_percentage=10 GPUmem=80%,6,100,Pareto,1,1,10
heatmap_p1_c7,Pareto distribution xm=1 lambda=1 concurrent=7 iter=100 model_percentage=1 GPUmem=80%,7,100,Pareto,1,1,1
heatmap_p2_c7,Pareto distribution xm=1 lambda=1 concurrent=7 iter=100 model_percentage=2 GPUmem=80%,7,100,Pareto,1,1,2
heatmap_p3_c7,Pareto distribution xm=1 lambda=1 concurrent=7 iter=100 model_percentage=3 GPUmem=80%,7,100,Pareto,1,1,3
heatmap_p4_c7,Pareto distribution xm=1 lambda=1 concurrent=7 iter=100 model_percentage=4 GPUmem=80%,7,100,Pareto,1,1,4
heatmap_p5_c7,Pareto distribution xm=1 lambda=1 concurrent=7 iter=100 model_percentage=5 GPUmem=80%,7,100,Pareto,1,1,5
heatmap_p6_c7,Pareto distribution xm=1 lambda=1 concurrent=7 iter=100 model_percentage=6 GPUmem=80%,7,100,Pareto,1,1,6
heatmap_p7_c7,Pareto distribution xm=1 lambda=1 concurrent=7 iter=100 model_percentage=7 GPUmem=80%,7,100,Pareto,1,1,7
heatmap_p8_c7,Pareto distribution xm=1 lambda=1 concurrent=7 iter=100 model_percentage=8 GPUmem=80%,7,100,Pareto,1,1,8
heatmap_p9_c7,Pareto distribution xm=1 lambda=1 concurrent=7 iter=100 model_percentage=9 GPUmem=80%,7,100,Pareto,1,1,9
heatmap_p10_c7,Pareto distribution xm=1 lambda=1 concurrent=7 iter=100 model_percentage=10 GPUmem=80%,7,100,Pareto,1,1,10
heatmap_p1_c8,Pareto distribution xm=1 lambda=1 concurrent=8 iter=100 model_percentage=1 GPUmem=80%,8,100,Pareto,1,1,1
heatmap_p2_c8,Pareto distribution xm=1 lambda=1 concurrent=8 iter=100 model_percentage=2 GPUmem=80%,8,100,Pareto,1,1,2
heatmap_p3_c8,Pareto distribution xm=1 lambda=1 concurrent=8 iter=100 model_percentage=3 GPUmem=80%,8,100,Pareto,1,1,3
heatmap_p4_c8,Pareto distribution xm=1 lambda=1 concurrent=8 iter=100 model_percentage=4 GPUmem=80%,8,100,Pareto,1,1,4
heatmap_p5_c8,Pareto distribution xm=1 lambda=1 concurrent=8 iter=100 model_percentage=5 GPUmem=80%,8,100,Pareto,1,1,5
heatmap_p6_c8,Pareto distribution xm=1 lambda=1 concurrent=8 iter=100 model_percentage=6 GPUmem=80%,8,100,Pareto,1,1,6
heatmap_p7_c8,Pareto distribution xm=1 lambda=1 concurrent=8 iter=100 model_percentage=7 GPUmem=80%,8,100,Pareto,1,1,7
heatmap_p8_c8,Pareto distribution xm=1 lambda=1 concurrent=8 iter=100 model_percentage=8 GPUmem=80%,8,100,Pareto,1,1,8
